scene_file,num_lines,num_speakers
episode_1_scene_1.txt,2,1
episode_1_scene_10.txt,58,13
episode_1_scene_11.txt,56,11
episode_1_scene_12.txt,23,6
episode_1_scene_13.txt,87,11
episode_1_scene_14.txt,15,5
episode_1_scene_15.txt,11,4
episode_1_scene_16.txt,51,11
episode_1_scene_17.txt,10,4
episode_1_scene_18.txt,12,5
episode_1_scene_19.txt,10,5
episode_1_scene_2.txt,11,3
episode_1_scene_20.txt,20,4
episode_1_scene_21.txt,56,4
episode_1_scene_22.txt,41,6
episode_1_scene_23.txt,13,5
episode_1_scene_24.txt,17,5
episode_1_scene_25.txt,41,7
episode_1_scene_26.txt,11,3
episode_1_scene_27.txt,1,0
episode_1_scene_28.txt,1,0
episode_1_scene_29.txt,7,2
episode_1_scene_3.txt,69,10
episode_1_scene_30.txt,1,0
episode_1_scene_31.txt,9,4
episode_1_scene_32.txt,1,0
episode_1_scene_33.txt,4,0
episode_1_scene_34.txt,28,5
episode_1_scene_35.txt,32,4
episode_1_scene_36.txt,17,4
episode_1_scene_37.txt,32,6
episode_1_scene_38.txt,21,5
episode_1_scene_39.txt,4,2
episode_1_scene_4.txt,19,5
episode_1_scene_40.txt,47,6
episode_1_scene_41.txt,55,9
episode_1_scene_5.txt,19,5
episode_1_scene_6.txt,29,7
episode_1_scene_7.txt,2,1
episode_1_scene_8.txt,21,4
episode_1_scene_9.txt,5,2
episode_3_scene_1.txt,42,8
episode_3_scene_10.txt,17,3
episode_3_scene_11.txt,27,5
episode_3_scene_12.txt,55,7
episode_3_scene_13.txt,24,6
episode_3_scene_14.txt,14,5
episode_3_scene_2.txt,24,9
episode_3_scene_3.txt,19,5
episode_3_scene_4.txt,39,7
episode_3_scene_5.txt,48,7
episode_3_scene_6.txt,26,8
episode_3_scene_7.txt,88,8
episode_3_scene_8.txt,48,6
episode_3_scene_9.txt,2,1
episode_4_scene_1.txt,7,2
episode_4_scene_10.txt,34,7
episode_4_scene_11.txt,10,2
episode_4_scene_12.txt,15,2
episode_4_scene_13.txt,28,5
episode_4_scene_14.txt,38,3
episode_4_scene_15.txt,9,4
episode_4_scene_16.txt,24,6
episode_4_scene_2.txt,60,8
episode_4_scene_3.txt,102,11
episode_4_scene_4.txt,28,6
episode_4_scene_5.txt,25,4
episode_4_scene_6.txt,25,3
episode_4_scene_7.txt,56,6
episode_4_scene_8.txt,9,2
episode_4_scene_9.txt,13,2
episode_5_scene_1.txt,50,6
episode_5_scene_10.txt,32,6
episode_5_scene_11.txt,22,3
episode_5_scene_12.txt,2,0
episode_5_scene_13.txt,26,6
episode_5_scene_14.txt,13,3
episode_5_scene_15.txt,40,6
episode_5_scene_16.txt,42,11
episode_5_scene_17.txt,6,1
episode_5_scene_2.txt,57,8
episode_5_scene_3.txt,17,4
episode_5_scene_4.txt,70,6
episode_5_scene_5.txt,48,7
episode_5_scene_6.txt,43,6
episode_5_scene_7.txt,19,6
episode_5_scene_8.txt,23,4
episode_5_scene_9.txt,29,4
episode_6_scene_1.txt,1,0
episode_6_scene_10.txt,71,7
episode_6_scene_11.txt,10,4
episode_6_scene_12.txt,17,6
episode_6_scene_13.txt,56,5
episode_6_scene_14.txt,12,2
episode_6_scene_15.txt,2,0
episode_6_scene_16.txt,3,1
episode_6_scene_17.txt,8,2
episode_6_scene_18.txt,2,1
episode_6_scene_19.txt,3,1
episode_6_scene_2.txt,44,7
episode_6_scene_20.txt,2,0
episode_6_scene_21.txt,1,0
episode_6_scene_22.txt,21,7
episode_6_scene_3.txt,8,4
episode_6_scene_4.txt,19,6
episode_6_scene_5.txt,25,5
episode_6_scene_6.txt,53,7
episode_6_scene_7.txt,65,8
episode_6_scene_8.txt,16,4
episode_6_scene_9.txt,20,4
